mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2446300983428955,0.013680845267107312,0.016336758931477863,0.005251626356121685,10,log2,2,10,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-4.319804181725679,-7.563942704102215,-26.84532522057451,-12.909690702134133,9.942586543475564,34
0.08972748120625813,0.007065574299388033,0.004395882288614909,0.0014693234217717968,10,log2,4,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-4.152057177366515,-16.095193297330262,-27.437918664608,-15.895056379768258,9.507466448010828,235
0.17799997329711914,0.012844192870336528,0.008258978525797525,0.0026976795242504813,10,log2,4,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-4.23243597000488,-15.931840008506718,-26.74079983665166,-15.635025271721085,9.191397616950407,226
0.22870596249898276,0.01334913265392024,0.009416341781616211,0.004839134629945844,10,log2,4,2,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-4.278651272457485,-15.673231521446858,-26.453987338490304,-15.468623377464882,9.054199054575426,220
0.08330138524373372,0.009970800229832658,0.005407571792602539,0.0015534621461047043,10,log2,4,5,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-4.152057177366515,-16.095193297330262,-27.437918664608,-15.895056379768258,9.507466448010828,235
0.14588101704915366,0.010333345798939724,0.00698097546895345,0.0016023492944596649,10,log2,4,5,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-4.23243597000488,-15.931840008506718,-26.74079983665166,-15.635025271721085,9.191397616950407,226
0.2286535104115804,0.012474820990041855,0.010927438735961914,0.0034478093522529317,10,log2,4,5,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-4.278651272457485,-15.673231521446858,-26.453987338490304,-15.468623377464882,9.054199054575426,220
0.07816735903422038,0.004279668622265458,0.005609035491943359,0.0020795413528188426,10,log2,4,10,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-4.242669070141287,-15.882281979424516,-27.74457781350302,-15.95650962102294,9.59475762946998,241
0.14556233088175455,0.013013214305350686,0.0069123109181722,0.003140764517580078,10,log2,4,10,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-4.17220497284154,-15.886464727696866,-27.108125483495037,-15.722265061344482,9.36427016432057,232
0.20189833641052246,0.011228302878726898,0.009985049565633139,0.0030924081493455113,10,log2,4,10,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-4.243211582569353,-15.597661049935216,-26.562918885068818,-15.467930505857796,9.112444093211655,217
0.17557462056477866,0.01824389013567231,0.004581054051717122,0.0012352463950006949,10,,1,2,100,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-4.542582098750501,-9.683006070855189,-26.71708267840291,-13.6475569493362,9.476826710114157,103
0.3644096851348877,0.048352866551827405,0.006805737813313802,0.0027621890432536554,10,,1,2,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-4.6010923312040415,-9.87616764030661,-26.517827860486342,-13.665029277332332,9.339965326256845,107
0.5301360289255778,0.042445580484736345,0.009882291158040365,0.0013984306394347363,10,,1,2,300,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-4.6654628766921435,-9.909561758942889,-26.992821968198744,-13.85594886794459,9.53268830256683,127
0.1951463222503662,0.02356833633817156,0.0034340222676595054,0.0001651107140173701,10,,1,5,100,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-5.082263141283431,-9.387531085718354,-27.775161082072298,-14.081651769691362,9.841002014854054,154
0.36988170941670734,0.03337586512724919,0.0075062910715738935,0.0003360384110884432,10,,1,5,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-4.953267164232059,-9.3236342355028,-27.027472733750578,-13.768124711161812,9.544029881641833,115
0.5859782695770264,0.06218610514265571,0.009264707565307617,0.00026398209243619884,10,,1,5,300,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-4.963455551937155,-9.388599281031265,-27.414858133313192,-13.92230432209387,9.71020873504691,136
0.19796554247538248,0.050625142102770575,0.006384611129760742,0.0022508710618400914,10,,1,10,100,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-4.995848319833438,-9.367307155145026,-27.772548354756413,-14.045234609911626,9.869372491847678,151
