YEAR;REP;var;Variety;FAO cicle;Sowing date;Flowering date;Harvest date;Fresh Total;Fresh Ear Percentage;Fresh Foliage Percentage;Dry Total;Dry Ear Percentage;Dry Foliage Percentage
2014;D;3;DKC 41.14;200;21/05/2014;04/08/2014;18/09/2014;43,60;41,67;58,33;18,87;59,64;40,36
2014;D;4;DKC 33.90;200;21/05/2014;23/07/2014;10/09/2014;32,20;41,86;58,14;13,96;55,13;44,87
2014;D;5;BELUGI;240;21/05/2014;28/07/2014;10/09/2014;50,00;34,88;65,12;19,04;50,87;49,13
2014;D;6;CODIGREEN;210;21/05/2014;04/08/2014;10/09/2014;47,33;40,54;59,46;19,38;55,71;44,29
2014;D;7;CRAVERO;250;21/05/2014;08/08/2014;18/09/2014;41,56;40,38;59,62;17,12;60,82;39,18
2014;D;8;PENELOPE;260;21/05/2014;04/08/2014;10/09/2014;42,14;41,51;58,49;18,18;55,80;44,20
2014;D;9;TORQUAZ;400;21/05/2014;14/08/2014;01/10/2014;37,91;37,06;62,94;15,72;53,65;46,35
2014;D;10;DKC4608;400;21/05/2014;14/08/2014;01/10/2014;38,63;40,68;59,32;16,08;61,90;38,10
2014;D;11;PINCKI;350;21/05/2014;14/08/2014;01/10/2014;34,69;42,59;57,41;15,27;59,17;40,83
2014;D;12;YUCATAN;350;21/05/2014;14/08/2014;01/10/2014;30,90;39,07;60,93;14,23;53,35;46,65
2014;D;13;ANJOU_387;300;21/05/2014;14/08/2014;24/09/2014;28,07;43,14;56,86;12,93;60,05;39,95
2014;D;14;LG 30.369;300;21/05/2014;14/08/2014;24/09/2014;51,53;43,04;56,96;22,37;60,20;39,80
2014;D;15;SY SAVIO;300;21/05/2014;11/08/2014;24/09/2014;37,75;36,36;63,64;15,18;47,47;52,53
2014;D;16;SY SENKO;300;21/05/2014;11/08/2014;24/09/2014;42,88;38,60;61,40;17,63;52,56;47,44
2014;D;17;MARTELI;300;21/05/2014;11/08/2014;24/09/2014;51,08;36,67;63,33;19,56;55,12;44,88
2014;D;18;ARVEDO;300;21/05/2014;11/08/2014;18/09/2014;30,89;40,82;59,18;14,47;52,37;47,63
2014;D;19;SHERLEY;300;21/05/2014;11/08/2014;18/09/2014;51,65;37,68;62,32;21,52;53,29;46,71
2015;A;1;PENELOPE;260;14/05/2015;24/07/2015;21/09/2015;55,90;35,79;64,21;25,03;50,96;49,04
2015;A;2;BELUGI;240;14/05/2015;22/07/2015;21/09/2015;62,76;37,61;62,39;25,94;56,98;43,02
2015;A;3;ES METRONOM;250;14/05/2015;24/07/2015;21/09/2015;68,12;34,68;65,32;27,62;54,57;45,43
2015;A;4;AMADEO;200;14/05/2015;22/07/2015;21/09/2015;54,65;37,98;62,02;23,38;57,62;42,38
2015;A;5;CODIGREEN;210;14/05/2015;27/07/2015;21/09/2015;64,48;37,68;62,32;28,52;53,27;46,73
